"Campanya";" Mitjà de comunicació";" Tipologia de mitjà";" Acció publicitària desglossada per conceptes";" Període d'execució";" Preu (IVA inclòs)";" Empresa de comunicació";" Òrgan promotor "
"Festival MOT";"ARA";"Premsa";"1 anunci de pàgina sencera ";"13 de març";"600,00";"Edició de Premsa Periòdica Ara SL";"Alcaldia - Unitat: Oficina de comunicació"
"Festival MOT";"TOT OCI";"Revista";"1 anunci de pàgina sencera ";"Març";"220,22";"Totoci Business SL";"Alcaldia - Unitat: Oficina de comunicació"
"Festival MOT";"ARA ";"Digital";"Bàners 980x250 / 300x600 / 320x100 - 200.000 imp. - IP Girona";"Del 14 al 22 de març";"290,40";"Edició de Premsa Periòdica Ara SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"ARA";"Premsa";"1 anunci de pàgina sencera ";"6 de març";"600,00";"Edició de Premsa Periòdica Ara SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"L'ESPORTIU";"Premsa";"1 anunci de pàgina sencera ";"8 de març";"1.008,33";"Hermes Comunicacions SA";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"TOT OCI";"Revista";"1 anunci de pàgina sencera ";"Març";"220,22";"Totoci Business SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"GIDONA";"Revista ";"1 anunci de pàgina sencera ";"Març";"375,10";"Serrat Comunicació SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"ARA";"Digital";"Bàners 980x250 / 300x600 / 320x100 - 200.000 imp. - IP Girona";"Del 3 al 10 de març";"290,40";"Edició de Premsa Periòdica Ara SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"VILAWEB";"Digital";"Bàners 970x250 / 300x600 - 462.562 imp.  - IP Girona";"Del 3 al 10 de març";"1.125,00";"Partal, Maresma & Associats SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"EL MÓN";"Digital";"Bàners 300x600 / 300x250 / 970x250 / 300x140 - 250.000 imp.  - Girona";"Del 3 al 10 de març";"605,00";"Editora Singular Digital 2 GR SL";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"EL NACIONAL";"Digital";"Bàner 300x600 - 250.000 imp.  - IP Girona";"Del 3 al 10 de març";"1.210,00";"Grup Les Notícies de Catalunya SLU";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"EL GERIÓ";"Digital";"Bàner 300x250 / 970x250";"Del 3 al 10 de març";"143,35";"Marc Estarriola Prujà";"Alcaldia - Unitat: Oficina de comunicació"
"8 de març";"RÀDIO GIRONA";"Ràdio";"40 falques";"Del 3 al 10 de març";"953,48";"Sociedad Española de Radiodifusión SL";"Alcaldia - Unitat: Oficina de comunicació"
