"campanya","medi","preu"
"Festival MOT","ARA",600.0
"Festival MOT","TOT OCI",220.22
"Festival MOT","ARA",290.4
"8 de març","ARA",600.0
"8 de març","L'ESPORTIU",1008.33
"8 de març","TOT OCI",220.22
"8 de març","GIDONA",375.1
"8 de març","ARA",290.4
"8 de març","VILAWEB",1125.0
"8 de març","EL MÓN",605.0
"8 de març","EL NACIONAL",1210.0
"8 de març","EL GERIÓ",143.35
"8 de març","RÀDIO GIRONA",953.48
"8 de març","RAC1",810.7
"8 de març","CATALUNYA RÀDIO",454.96
"Jornada de l'Esport Femení","L'ESPORTIU",1008.33
"Cicle A Prop","ARA",300.0
"Cicle A Prop","TOT OCI",220.22
"Cicle A Prop","PEDRES DE GIRONA",605.0
"Temps de Flors","ARA",600.0
"Temps de Flors","LA VANGUARDIA",605.0
"Temps de Flors","TOT OCI",220.22
"Temps de Flors","GIDONA",375.1
"Temps de Flors","TOP GIRONA",900.0
"Temps de Flors","ARA",290.4
"Temps de Flors","VILAWEB",1125.0
"Temps de Flors","NACIÓ DIGITAL",1664.96
"Temps de Flors","EL MÓN",1097.47
"Temps de Flors","EL NACIONAL",1210.0
"Temps de Flors","PEDRES DE GIRONA",605.0
"Temps de Flors","RAC1",810.7
"Notes al Parc","ARA",300.0
"Notes al Parc","TOT OCI",220.22
"Notes al Parc","ENDERROCK",1270.5
"Notes al Parc","LA CULTURA NO VAL RES",250.0
"Notes al Parc","RÀDIO GIRONA",953.48
"Notes al Parc","RAC105",217.8
"Aula d'Escriptura","ARA",600.0
"Aula d'Escriptura","TOT OCI",220.22
"Aula d'Escriptura","CATALUNYA RÀDIO",454.96
"Fires de Sant Narcís","ARA",600.0
"Fires de Sant Narcís","LA VANGUARDIA",605.0
"Fires de Sant Narcís","EL PERIÓDICO",605.0
"Fires de Sant Narcís","TOT OCI",220.22
"Fires de Sant Narcís","GIDONA",375.1
"Fires de Sant Narcís","ENDERROCK",1270.5
"Fires de Sant Narcís","EL TEMPS",1815.0
"Fires de Sant Narcís","DESCOBRIR",1250.0
"Fires de Sant Narcís","EL FOMENT",605.0
"Fires de Sant Narcís","ARA",605.0
"Fires de Sant Narcís","VILAWEB",1125.0
"Fires de Sant Narcís","NACIÓ DIGITAL",1064.8
"Fires de Sant Narcís","EL MÓN",1097.47
"Fires de Sant Narcís","EL NACIONAL",1210.0
"Fires de Sant Narcís","EL GERIÓ",268.78
"Fires de Sant Narcís","PEDRES DE GIRONA",605.0
"Fires de Sant Narcís","MENUTS",202.07
"Fires de Sant Narcís","RÀDIO GIRONA",1755.71
"Fires de Sant Narcís","RAC1 i RAC105",992.2
"Fires de Sant Narcís","FLAIX",472.19
"Fires de Sant Narcís","CATALUNYA RÀDIO",599.05
"Fires de Sant Narcís","RÀDIO ARRELS",340.0
"Nadal","ARA",600.0
"Nadal","LA VANGUARDIA",605.0
"Nadal","TOT OCI",220.22
"Nadal","ARA",290.4
"Nadal","VILAWEB",1125.0
"Nadal","NACIÓ DIGITAL",1216.05
"Nadal","EL MÓN",1097.47
"Nadal","EL NACIONAL",1210.0
"Nadal","PEDRES DE GIRONA",605.0
"Nadal","RÀDIO GIRONA",905.08
"Nadal","RAC105",242.0
"Nadal","CATALUNYA RÀDIO",956.38
"Cursa de Sant Silvestre","LA REPÚBLICA",1512.5
"Cursa de Sant Silvestre","L'ESPORTIU",1008.33
"Girona 2100","ARA",300.0
"Girona 2100","RAC1",617.1
"Foment del civisme (Jornades Repensem Girona)","ARA",1210.0
"Polítiques d'habitatge i rehabilitació","ARA",1210.0
"Polítiques d'habitatge i rehabilitació","EL MÓN",605.0
"Polítiques d'habitatge i rehabilitació","EL GERIÓ",412.13
"Polítiques d'habitatge i rehabilitació","CRÍTIC",1210.0
"Polítiques d'habitatge i rehabilitació","RÀDIO GIRONA",1406.02
"Polítiques d'habitatge i rehabilitació","RAC1",810.7
"Difusió dels museus, exposicions i conferències municipals","BONART",3000.8
"Difusió dels museus, exposicions i conferències municipals","LA PUNXA",800.0
"Teatre Municipal","PROSCENIUM",2420.0
"Mobilitat sostenible i segura","L'ESPORTIU",1008.33
"Mobilitat sostenible i segura","CRÍTIC",1210.0
"Difusió del patrimoni social, cultural, turístic, històric i natural","CRÍTIC",1210.0
"La Marfà","ENDERROCK",2541.0
"La Marfà","RAC105",272.25
"Premis, beques i subvencions","ARA",900.02
"Premis, beques i subvencions","SAPIENS",1250.0
"Premis, beques i subvencions","CAPÇALERA",1210.0
"Premis, beques i subvencions","EL GERIÓ",1110.95
"Premis, beques i subvencions","NÚVOL",500.0
"Premis, beques i subvencions","SOCIAL",250.0
"Premis, beques i subvencions","RÀDIO GIRONA",2763.64
"Premis, beques i subvencions","RAC1",617.1
"Foment de la igualtat entre persones (25N)","L'ESPORTIU",1008.33
"Foment de la igualtat entre persones (25N)","EL GERIÓ",837.55
"Foment de la igualtat entre persones (25N)","RÀDIO GIRONA",905.08
"Foment de la igualtat entre persones (25N)","RAC1",580.8
"Fons innovació Girona","ARA",600.0
"Fons innovació Girona","CATALONIA TODAY",514.25
"Fons innovació Girona","L'ECONÒMIC",2420.0
"Fons innovació Girona","TOT OCI",220.22
"Fons innovació Girona","GIDONA",375.1
"Fons innovació Girona","TOP GIRONA",900.0
"Fons innovació Girona","EL GERIÓ",537.55
"Fons innovació Girona","RÀDIO GIRONA",953.48
"Fons innovació Girona","RAC1",810.7
"Difusió;;; de publicitat institucional a la premsa diària","DIARI DE GIRONA",23454.64
"Difusió;;; de publicitat institucional a la premsa diària","EL PUNT AVUI",51318.52
"Difusió;;; de publicitat i comunicació institucional a la televisió","TV Girona",60481.85
