"medi","pagat","vegades"
"ARA",10186.62,18
"TOT OCI",1981.98,9
"L'ESPORTIU",5041.65,5
"GIDONA",1500.4,4
"VILAWEB",4500.0,4
"EL MÓN",4502.41,5
"EL NACIONAL",4840.0,4
"EL GERIÓ",3310.31,6
"RÀDIO GIRONA",10595.97,8
"RAC1",5057.8,7
"CATALUNYA RÀDIO",2465.35,4
"PEDRES DE GIRONA",2420.0,4
"LA VANGUARDIA",1815.0,3
"TOP GIRONA",1800.0,2
"NACIÓ DIGITAL",3945.81,3
"ENDERROCK",5082.0,3
"LA CULTURA NO VAL RES",250.0,1
"RAC105",732.05,3
"EL PERIÓDICO",605.0,1
"EL TEMPS",1815.0,1
"DESCOBRIR",1250.0,1
"EL FOMENT",605.0,1
"MENUTS",202.07,1
"RAC1 i RAC105",992.2,1
"FLAIX",472.19,1
"RÀDIO ARRELS",340.0,1
"LA REPÚBLICA",1512.5,1
"CRÍTIC",3630.0,3
"BONART",3000.8,1
"LA PUNXA",800.0,1
"PROSCENIUM",2420.0,1
"SAPIENS",1250.0,1
"CAPÇALERA",1210.0,1
"NÚVOL",500.0,1
"SOCIAL",250.0,1
"CATALONIA TODAY",514.25,1
"L'ECONÒMIC",2420.0,1
"DIARI DE GIRONA",23454.64,1
"EL PUNT AVUI",51318.52,1
"TV Girona",60481.85,1
