"3","Ratoli USB","ERROR","5"
"6","Laptop Pro","1500.00","abc"
"7","Auriculars","55.20",""
"3","Ratoli USB","ERROR","5"
"6","Laptop Pro","1500.00","abc"
"7","Auriculars","55.20",""
"3","Ratoli USB","ERROR","5"
"6","Laptop Pro","1500.00","abc"
"7","Auriculars","55.20",""
"3":"Ratoli USB":"ERROR":"5"
"6":"Laptop Pro":"1500.00":"abc"
"7":"Auriculars":"55.20":""
"3";"Ratoli USB";"ERROR";"5"
"6";"Laptop Pro";"1500.00";"abc"
"7";"Auriculars";"55.20";""
"3","Ratoli USB","ERROR","5"
"6","Laptop Pro","1500.00","abc"
"7","Auriculars","55.20",""
